Parent_ID,Site_ID,daysofdata,ERdailymeanmean_gO2_per_m2day,GPPdailymeanmean_gO2_per_m2day,K600dailymeanmean_m_per_day,mean_depth_m,ERdailymeanmean_gO2_per_m3day,GPPdailymeanmean_gO2_per_m3day,K600vsERrsq,K600vsERp,ER_removed,GPP_removed
SSS028,S42,25,-9999,-9999,-9999,0.141681671,-9999,-9999,-9999,-9999,25,25
SSS029,S41R,32,-3.211222223,1.807818132,22.81439593,0.371848608,-8.635832307,4.861704716,0.134342444,0.039081514,0,0
SSS030,S43,32,-4.625467431,6.051555704,10.18170491,0.324584635,-14.25042019,18.64399931,0.267951018,0.002411378,0,0
SSS031,S47R,32,-1.19119453,2.950165468,37.2098985,0.479129618,-2.48616342,6.157343142,0.505970915,5.03E-06,0,0
SSS032,C21,32,-0.604162542,0.254145671,17.62205308,0.280497497,-2.153896375,0.906053258,0.933261284,3.46E-19,0,0
SSS033,S48R,32,4.425063576,9.819538341,604.0720214,0.277654051,15.93732764,35.36609071,0.156949496,0.024791029,28,0
SSS034,S18R,32,9.261904872,2.206819716,67.9114036,0.543529228,17.04030694,4.060167517,0.802491238,4.35E-12,32,0
SSS035,S17R,30,-1.809595923,1.056973873,24.2010987,0.409060424,-4.423786359,2.583906462,0.241834072,0.005779164,0,0
SSS036,W10,32,-1.16838836,0.516691986,16.09356349,0.141673431,-8.247053455,3.647063406,0.657371961,1.85E-08,0,0
SSS037,S39,32,-0.835063907,0.57936946,28.8932137,0.161935484,-5.156769148,3.577779532,0.432351539,4.33E-05,0,0
SSS038,S38,32,-9999,-9999,-9999,0.078060075,-9999,-9999,-9999,-9999,2,2
SSS039,S37,29,-0.945285318,1.087595208,33.98788319,0.191319588,-4.940870562,5.684703912,0.794267331,9.08E-11,0,0
SSS040,S54,32,2.136448679,2.871693114,45.66775496,0.472682088,4.519842687,6.075316128,0.535612392,1.94E-06,32,0
SSS041,S49R,32,-0.117868863,3.551021247,44.24266949,0.46822243,-0.251736899,7.5840477,0.020938549,0.429433934,3,3
SSS042,S51,32,0.957293722,2.140085381,24.52682638,0.450249766,2.126139301,4.753107149,0.120456561,0.051632926,31,0
SSS043,S11,32,-1.781099966,1.875931359,23.35831594,0.526825447,-3.380816128,3.560821465,0.166539415,0.020414065,0,0
SSS044,S02,32,0.306939033,1.740474772,18.88773547,0.57273325,0.535919703,3.03889249,0.225780942,0.005991456,29,0
SSS045,S01,32,1.364580365,1.975433156,43.47622338,0.332204823,4.107647662,5.946431293,0.579536209,4.21E-07,32,0
SSS046,S22RR,26,-3.952194015,3.754473174,27.60977733,0.29687872,-13.3124867,12.646488,0.880877302,1.39E-12,0,0
SSS047,S23,27,-3.149262338,1.597010322,8.332149119,1.087078014,-2.896997545,1.469085292,0.077286043,0.160303443,0,0
SSS048,S29,31,-0.248370465,0.641667163,17.20306608,0.233397659,-1.064151485,2.749244213,0.14019672,0.037965123,1,1
