Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,33S,34S
10,218.98533,218.98534408064268,218.9852691855291,1005544.4,-9999,746791.8,16.42,-1,0.342009824968015,0.978999464391924,0,0.5873996786351544,9,0.5,0.4,P1 O4,de-protonated,0,-9999,C10 H5 O4 P1,10,5,4,-9999,1,-9999,-9999,N/A,-9999
27,245.048353,245.0483690347781,245.0485381486291,983342.8,-9999,683925.5,15.46,-1,-0.6901238926265545,0.9172100737063712,0,0.5503260442238226,9,0.9166666666666666,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H11 O2 N2 P1,12,11,2,2,1,-9999,-9999,N/A,-9999
30,251.078064,251.0780804868696,251.07811039978907,5873288.5,-9999,700016.6,101.4,-1,-0.119137902644452,0.9974278600414253,0,0.5984567160248551,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,N/A,-9999
32,251.095336,251.0953524881646,251.09548834200908,5050507.5,-9999,652775.6,86.92,-1,-0.5410445459629031,0.94827064315132,0,0.568962385890792,6,1.4166666666666667,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H17 O2 N2 P1,12,17,2,2,1,-9999,-9999,N/A,-9999
34,252.081402,252.08141856209716,252.08122145795903,884134.8,-9999,821931.3,13.57,-1,0.7819072636807066,0.8949978967026677,0,0.5369987380216006,6,1.3636363636363635,0.18181818181818185,N3 S1 O2,de-protonated,0,-9999,C11 H15 O2 N3 S1,11,15,2,3,-9999,1,-9999,N/A,-9999
39,255.061267,255.06128378551944,255.0614115075491,2809328,-9999,681733.5,47.24,-1,-0.5007501092358677,0.955521150507382,0,0.5733126903044292,5,1.4166666666666667,0.16666666666666666,S1 P1 O2,de-protonated,0,-9999,C12 H17 O2 P1 S1,12,17,2,-9999,1,1,-9999,N/A,-9999
41,255.063146,255.0631627856603,255.0631290405891,806512.4,-9999,540773.8,12.14,-1,0.13230085947506862,0.9968290478806217,0,0.598097428728373,5,1.4545454545454546,0.09090909090909093,N2 S2 O1,de-protonated,0,-9999,C11 H16 O1 N2 S2,11,16,1,2,-9999,2,-9999,N/A,-9999
56,262.976183,262.9762003789586,262.9759678045391,902723.5,-9999,1378291.3,13.63,-1,0.8843941955637254,0.8676901038830246,0,0.5206140623298148,9,0.75,0.08333333333333333,S2 P1 O1,de-protonated,0,-9999,C12 H9 O1 P1 S2,12,9,1,-9999,1,2,-9999,N/A,-9999
59,263.043651,263.04366838401717,263.0438466913691,4416332,-9999,599854.4,74.45,-1,-0.6778617107344187,0.9200060470442412,0,0.5520036282265447,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,N/A,-9999
60,265.040735,265.0407525337531,265.0407363694891,1507402,-9999,588673.7,23.94,-1,0.06098784755310377,0.999325326121832,0,0.5995951956730993,17,0.3333333333333333,0.05555555555555555,N2 O1,de-protonated,0,-9999,C18 H6 O1 N2,18,6,1,2,-9999,-9999,-9999,N/A,-9999
61,265.057462,265.0574795350073,265.0573749548991,1993804.1,-9999,802508.6,32.31,-1,0.39455649260021586,0.9721482236867174,0,0.5832889342120304,2,1.8,0.4,S2 O4,de-protonated,0,-9999,C10 H18 O4 S2,10,18,4,-9999,-9999,2,-9999,N/A,-9999
63,265.147549,265.1475665417618,265.1475239158191,2900055.3,-9999,588033.8,47.89,-1,0.16076311824617756,0.995321477130584,0,0.5971928862783503,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A,-9999
65,266.08913,266.089147612359,266.0890094364491,7335627.5,-9999,644247.6,124.18,-1,0.5192845439314863,0.9228726277172384,0.9882049618811558,0.9490055613828056,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,N/A,-9999
67,267.072539,267.07255668609235,267.0726448968391,1656898.9,-9999,670700.9,26.51,-1,-0.3302874646234194,0.980400416418139,0,0.5882402498508834,6,1.4166666666666667,0.08333333333333333,N2 S1 P1 O1,de-protonated,0,-9999,C12 H17 O1 N2 P1 S1,12,17,1,2,1,1,-9999,N/A,-9999
68,267.073132,267.0731496861368,267.0730250193591,3460675,-9999,527618.9,57.53,-1,0.4667891027150141,0.961235128571932,0,0.5767410771431593,1,2,0.4,S2 O4,de-protonated,0,-9999,C10 H20 O4 S2,10,20,4,-9999,-9999,2,-9999,N/A,-9999
70,267.092557,267.09257468759324,267.09236427151905,901061.3,-9999,780672.9,13.51,-1,0.7878026568463407,0.8934963340744785,0.9882049618811558,0.9313797851971494,1,2.3333333333333335,0.3333333333333333,13C1 N1 S2 O3,de-protonated,1,65,C9 H21 O3 N1 S2 13C1,9,21,3,1,-9999,2,1,N/A,-9999
81,271.118448,271.11846598944373,271.1187119096991,1575704.9,-9999,730804.8,24.94,-1,-0.9070574790135244,0.8613214493454201,0,0.516792869607252,4,1.5384615384615383,0.4615384615384616,O6,de-protonated,0,-9999,C13 H20 O6,13,20,6,-9999,-9999,-9999,-9999,N/A,-9999
82,271.154878,271.15489599217517,271.15509741904907,1135772.9,-9999,584835.7,17.42,-1,-0.7428474545291546,0.904722113990788,0,0.5428332683944728,3,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,-9999,C14 H24 O5,14,24,5,-9999,-9999,-9999,-9999,N/A,-9999
84,271.191208,271.19122599489907,271.19148292839907,4217633,-9999,697514.5,70.08,-1,-0.9474246654914108,0.8497009713488366,0,0.509820582809302,2,1.8666666666666667,0.26666666666666666,O4,de-protonated,0,-9999,C15 H28 O4,15,28,4,-9999,-9999,-9999,-9999,N/A,-9999
85,271.227588,271.22760599762677,271.2278684377491,1476901.1,-9999,566999,23.25,-1,-0.9676001358831238,0.8437649345662291,0,0.5062589607397374,1,2,0.1875,O3,de-protonated,0,-9999,C16 H32 O3,16,32,3,-9999,-9999,-9999,-9999,N/A,-9999
87,273.097728,273.0977461378448,273.0979764648091,1268723.5,-9999,597674.3,19.56,-1,-0.8433858327362781,0.8789173707615595,0,0.5273504224569356,4,1.5,0.5833333333333334,O7,de-protonated,0,-9999,C12 H18 O7,12,18,7,-9999,-9999,-9999,-9999,N/A,-9999
88,273.134082,273.1341001405705,273.13436197415905,2282487.5,-9999,714411.9,36.76,-1,-0.9586255886370966,0.8464157307248433,0,0.5078494384349059,3,1.6923076923076923,0.4615384615384616,O6,de-protonated,0,-9999,C13 H22 O6,13,22,6,-9999,-9999,-9999,-9999,N/A,-9999
89,273.206874,273.20689214602834,273.2071329928591,982911.4,-9999,639833,14.71,-1,-0.8815539628309244,0.8684801418997444,0,0.5210880851398466,1,2,0.26666666666666666,O4,de-protonated,0,-9999,C15 H30 O4,15,30,4,-9999,-9999,-9999,-9999,N/A,-9999
92,277.059473,277.05949143488584,277.0594967558291,28448662,-9999,639666.8,480.82,-1,-0.01920505644401362,0.9999254287868012,0.9843366244816254,0.9936899070647308,4,1.6666666666666667,0.6666666666666666,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,N/A,-9999
93,277.144294,277.14431244124546,277.1445327350191,840862.9,-9999,575103.6,12.29,-1,-0.7948696351643199,0.8916848657424709,0,0.5350109194454825,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,N/A,-9999
94,278.062839,278.06285751011546,278.06285159089913,3315196.5,-9999,706790.5,53.91,-1,0.02128733234588443,0.999917779813999,0.9843366244816254,0.9936853176810496,4,1.875,0.75,13C1 N2 P1 O6,de-protonated,1,92,C8 H15 O6 N2 P1 13C1,8,15,6,2,1,-9999,1,N/A,-9999
96,279.038739,279.03875758328587,279.0387613109391,1360223,-9999,660800.5,20.96,-1,-0.01335890829298346,0.9999676191135486,0,0.5999805714681291,4,1.625,0.875,N2 P1 O7,de-protonated,0,-9999,C8 H13 O7 N2 P1,8,13,7,2,1,-9999,-9999,N/A,-9999
97,279.054073,279.0540915844356,279.05401745222906,910432.5,-9999,832967.5,13.38,-1,0.2656553996168936,0.987276299245327,0,0.5923657795471962,8,1.0833333333333333,0.3333333333333333,N2 P1 O4,de-protonated,0,-9999,C12 H13 O4 N2 P1,12,13,4,2,1,-9999,-9999,N/A,-9999
98,279.055937,279.05595558457526,279.0557349852691,2940256.8,-9999,527592.7,47.59,-1,0.7905205967483203,0.89280112825874,0,0.535680676955244,8,1.0909090909090908,0.2727272727272727,N4 S1 O3,de-protonated,0,-9999,C11 H12 O3 N4 S1,11,12,3,4,-9999,1,-9999,N/A,-9999
