Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,34S
5,187.097462,187.0975854434453,187.0975825416391,1338670.5,-9999,904593,23.49,-1,0.01550958680800187,0.999956353964028,0,0.5999738123784167,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
8,190.957384,190.9575031614143,190.95734035992908,1211709.6,-9999,693633.4,20.96,-1,0.8525542140702881,0.8764411318973057,0,0.5258646791383834,4,1,0.8,S1 P1 O4,de-protonated,0,-9999,C5 H5 O4 P1 S1,5,5,4,-9999,1,1,-9999,N/A,N/A,-9999
10,199.061089,199.0611991715136,199.06119703228907,797331.3,-9999,860265.3,12.99,-1,0.01074656707522198,0.9999790449459534,0,0.599987426967572,4,1.3333333333333333,0.5555555555555556,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,N/A,N/A,-9999
11,199.097488,199.0975981311341,199.0975825416391,1632374.6,-9999,710177.8,28.68,-1,0.07830077496619779,0.9988881546015432,0,0.5993328927609259,3,1.6,0.4,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
12,201.113124,201.11323189507448,201.11323260609907,1013591.1,-9999,874740.5,17,-1,-0.00353544412870334,0.999997732009179,0,0.5999986392055073,2,1.8,0.4,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
13,209.154642,209.15474097416129,209.15470349587903,766538.6,-9999,921926.2,12.21,-1,0.17918928714976254,0.9941908391139124,0,0.5965145034683474,3,1.6923076923076923,0.15384615384615383,O2,de-protonated,0,-9999,C13 H22 O2,13,22,2,-9999,-9999,-9999,-9999,N/A,N/A,-9999
14,211.133876,211.1339727784845,211.13396805098907,789451.8,-9999,1022740.7,12.59,-1,0.02239097497150065,0.999909033793618,0,0.5999454202761707,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,N/A,N/A,-9999
16,213.113136,213.1132305827788,213.11323260609907,1082584.1,-9999,845075.7,17.99,-1,-0.00949410901702784,0.9999836446928244,0,0.5999901868156946,3,1.6363636363636365,0.3636363636363637,O4,de-protonated,0,-9999,C11 H18 O4,11,18,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
18,215.092381,215.0924733870898,215.09249716120908,871758.6,-9999,914140.7,14.06,-1,-0.11052974696259292,0.9977857282839488,0,0.5986714369703692,3,1.6,0.5,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,N/A,N/A,-9999
19,215.128815,215.1289073466715,215.12888267055905,1459091.8,-9999,791036,24.85,-1,0.11470385630933538,0.9976155316054937,0,0.5985693189632961,2,1.818181818181818,0.3636363636363637,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
20,218.103337,218.1034260468651,218.10339619786907,1104199.9,-9999,792315.9,18.26,-1,0.1368570896010857,0.996607259363879,0,0.5979643556183274,2,1.8888888888888888,0.5555555555555556,N1 O5,de-protonated,0,-9999,C9 H17 O5 N1,9,17,5,1,-9999,-9999,-9999,N/A,N/A,-9999
