Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,33S,34S
13,166.993584,166.993608568514,166.99372586927907,4359019.5,-9999,864973.1,81.11,-1,-0.702426180821007,0.914363355135648,0,0.5486180130813888,1,2.25,0.75,S1 P1 O3,de-protonated,0,-9999,C4 H9 O3 P1 S1,4,9,3,-9999,1,1,-9999,N/A,-9999,N/A,-9999
32,185.037441,185.03746195154184,185.0373047593391,1073826.4,-9999,1052760.1,18.48,-1,0.8495162798783934,0.8772638219278442,0,0.5263582931567066,4,1.375,0.375,P1 O3,de-protonated,0,-9999,C8 H11 O3 P1,8,11,3,-9999,1,-9999,-9999,N/A,-9999,N/A,-9999
51,218.985407,218.98542114651957,218.9852691855291,906319.3,-9999,1136670.9,14.57,-1,0.6939324779432469,0.9163332093166372,0,0.5497999255899823,9,0.5,0.4,P1 O4,de-protonated,0,-9999,C10 H5 O4 P1,10,5,4,-9999,1,-9999,-9999,N/A,-9999,N/A,-9999
61,234.983452,234.9834629396396,234.98355510841907,807511.6,-9999,848310.4,12.49,-1,-0.392235020156418,0.9724704651961862,0,0.5834822791177117,4,1.2857142857142858,0.7142857142857143,S1 P1 O5,de-protonated,0,-9999,C7 H9 O5 P1 S1,7,9,5,-9999,1,1,-9999,N/A,-9999,N/A,-9999
87,245.048462,245.04847092206316,245.0485381486291,2449232,-9999,793240,41.36,-1,-0.27433979586141366,0.9864365738128096,0,0.5918619442876857,9,0.9166666666666666,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H11 O2 N2 P1,12,11,2,2,1,-9999,-9999,N/A,-9999,N/A,-9999
92,249.098141,249.0981491102868,249.0979764648091,1732499.8,-9999,760158,28.54,-1,0.6930826181505594,0.916529221095984,0,0.5499175326575904,2,1.8,0.7,O7,de-protonated,0,-9999,C10 H18 O7,10,18,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
95,250.101809,250.10181690909704,250.1019569028491,996416.9,-9999,779456.5,15.5,-1,-0.5597467281154141,0.9447349669163154,0,0.5668409801497892,6,1.4166666666666667,0.08333333333333333,N3 S1 O1,de-protonated,0,-9999,C12 H17 O1 N3 S1,12,17,1,3,-9999,1,-9999,N/A,-9999,N/A,-9999
99,251.019421,251.0194287251576,251.0195639511791,875870.2,-9999,776289.9,13.38,-1,-0.5387071006909069,0.948705004233956,0,0.5692230025403735,3,2.1666666666666665,0.16666666666666666,N4 S2 P1 O1,de-protonated,0,-9999,C6 H13 O1 N4 P1 S2,6,13,1,4,1,2,-9999,N/A,-9999,N/A,-9999
104,252.951158,252.95116533793225,252.95120960764905,1030630.1,-9999,576507.7,16.09,-1,-0.17501286865789528,0.9944577320520112,0,0.5966746392312067,4,1.4,0.8,N2 S2 P1 O4,de-protonated,0,-9999,C5 H7 O4 N2 P1 S2,5,7,4,2,1,2,-9999,N/A,-9999,N/A,-9999
116,257.066424,257.0664305130087,257.0666763358891,1036622.3,-9999,868326.8,16.1,-1,-0.9562611689134278,0.8471113692539515,0,0.5082668215523709,5,1.2727272727272727,0.6363636363636364,O7,de-protonated,0,-9999,C11 H14 O7,11,14,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
117,257.102805,257.1028115057159,257.1030618452391,1832532.3,-9999,720636,30,-1,-0.9736932784086396,0.8419559209162258,0,0.5051735525497355,4,1.5,0.5,O6,de-protonated,0,-9999,C12 H18 O6,12,18,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
