Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S,36S
3,163.014739,163.01484478843082,163.01491554416907,960669.1,-9999,855101.9,16.3,-1,-0.4340445658826919,0.9663937026382424,0,0.5798362215829453,7,0.5714285714285714,0.42857142857142855,N2 O3,de-protonated,0,-9999,C7 H4 O3 N2,7,4,3,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
4,163.014863,163.01496878837875,163.01491554416907,1466400,-9999,643164.7,25.94,-1,0.326621705158005,0.9808288874725124,0,0.5884973324835074,7,0.5714285714285714,0.42857142857142855,N2 O3,de-protonated,0,-9999,C7 H4 O3 N2,7,4,3,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
14,163.016507,163.01661278768833,163.0165693144491,1414160,-9999,1097185.5,24.94,-1,0.26667988053931896,0.9871786069807552,0,0.5923071641884531,2,1.8,0.8,P1 O4,de-protonated,0,-9999,C5 H9 O4 P1,5,9,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
15,163.016617,163.01672278764212,163.0165693144491,1312074,-9999,1249865,23,-1,0.9414576301594266,0.8514404840925361,0,0.5108642904555216,2,1.8,0.8,P1 O4,de-protonated,0,-9999,C5 H9 O4 P1,5,9,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
21,163.018344,163.01844978691688,163.0182868474891,2959014,-9999,729238.6,54.37,-1,0.9995162563189988,0.8342074392270648,0,0.5005244635362388,2,2,0.75,N2 S1 O3,de-protonated,0,-9999,C4 H8 O3 N2 S1,4,8,3,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
23,163.018815,163.01892078671904,163.0189382961691,1031991,-9999,830841.5,17.66,-1,-0.1074074597928294,0.9979089315304712,0,0.5987453589182827,11,0.3333333333333333,0.08333333333333333,O1,de-protonated,0,-9999,C12 H4 O1,12,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
78,212.978009,212.97809380566585,212.9780758048191,1103823.6,-9999,898135.1,18.3,-1,0.08451971713295063,0.998704646020713,0,0.5992227876124278,6,0.875,0.375,S1 P1 O3,de-protonated,0,-9999,C8 H7 O3 P1 S1,8,7,3,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
85,217.047271,217.04735409672307,217.0474789761291,1032422.9,-9999,841911.1,16.86,-1,-0.5753552477058066,0.9417027342689236,0,0.5650216405613542,3,1.75,0.125,N2 S2 O1,de-protonated,0,-9999,C8 H14 O1 N2 S2,8,14,1,2,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
87,218.985092,218.9851742829084,218.9852691855291,1230866.4,-9999,816802.5,20.39,-1,-0.4333744505071624,0.9664956343562592,0,0.5798973806137554,9,0.5,0.4,P1 O4,de-protonated,0,-9999,C10 H5 O4 P1,10,5,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
94,220.017008,220.01708984954104,220.01690366707908,886933.1,-9999,719835,14.14,-1,0.846218898895536,0.8781543170313314,0,0.5268925902187989,8,0.8,0.3,N1 P1 O3,de-protonated,0,-9999,C10 H8 O3 N1 P1,10,8,3,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
96,220.018412,220.0184938489514,220.0186212001191,1584341.3,-9999,734073.2,26.81,-1,-0.5788199516782065,0.9410196913690908,0,0.5646118148214545,8,0.7777777777777778,0.2222222222222222,N3 S1 O2,de-protonated,0,-9999,C9 H7 O2 N3 S1,9,7,2,3,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
