Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
8,187.097449,187.0975611527224,187.0975825416391,1212126.3,-9999,742148.8,21.05,-1,-0.11431957798775036,0.9976314627253788,0,0.5985788776352272,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14,199.097499,199.0975985055271,199.0975825416391,830587.3,-9999,929913.7,13.58,-1,0.08018122463120443,0.9988341413149217,0,0.5993004847889529,3,1.6,0.4,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15,201.113176,201.11327338114756,201.11323260609907,769600.6,-9999,849333.8,12.39,-1,0.2027467211444597,0.9925690749007224,0,0.5955414449404334,2,1.8,0.4,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
16,209.154633,209.1547219060264,209.15470349587903,809876.9,-9999,787971,12.96,-1,0.08802167512579738,0.9985951568108512,0,0.5991570940865107,3,1.6923076923076923,0.15384615384615383,O2,de-protonated,0,-9999,C13 H22 O2,13,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
17,211.097474,211.09756085841084,211.0975825416391,936171.6,-9999,828178.7,15.23,-1,-0.10271661093234198,0.9980874202691564,0,0.5988524521614939,4,1.4545454545454546,0.3636363636363637,O4,de-protonated,0,-9999,C11 H16 O4,11,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
18,211.133885,211.13397182003624,211.13396805098907,938160.9,-9999,906255.6,15.27,-1,0.01785144855364504,0.9999421786539612,0,0.5999653071923767,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19,212.020943,212.02102888514048,212.02092987500907,836948.1,-9999,1028663.1,13.4,-1,0.4669828184684811,0.9612035798270998,0,0.5767221478962599,5,1.2222222222222223,0.1111111111111111,N1 S2 O1,de-protonated,0,-9999,C9 H11 O1 N1 S2,9,11,1,1,-9999,2,-9999,-9999,-9999,-9999,-9999
21,213.076716,213.07680077243117,213.07684709674908,870259.3,-9999,642080.1,14.01,-1,-0.2174066236578539,0.9914603831629936,0,0.5948762298977961,4,1.4,0.5,O5,de-protonated,0,-9999,C10 H14 O5,10,14,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
22,213.113134,213.1132187340492,213.11323260609907,865432.8,-9999,731617.7,13.92,-1,-0.06509239099302831,0.9992314938545388,0,0.5995388963127232,3,1.6363636363636365,0.3636363636363637,O4,de-protonated,0,-9999,C11 H18 O4,11,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
25,215.092484,215.09256664795575,215.09249716120908,1048843.6,-9999,720031.5,17.23,-1,0.32305518595404886,0.9812413460707342,0,0.5887448076424405,3,1.6,0.5,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
26,215.128793,215.12887560968863,215.12888267055905,1106545.3,-9999,605748,18.28,-1,-0.03282158271219237,0.9998045523634226,0,0.5998827314180535,2,1.818181818181818,0.3636363636363637,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
27,218.103302,218.1033814747687,218.10339619786907,1188785.1,-9999,731221.6,19.71,-1,-0.06750514038131158,0.9991734902491172,0,0.5995040941494703,2,1.8888888888888888,0.5555555555555556,N1 O5,de-protonated,0,-9999,C9 H17 O5 N1,9,17,5,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30,223.097557,223.09763121118073,223.0975825416391,868225.1,-9999,869446,13.75,-1,0.2181536037845412,0.991401853821514,0,0.5948411122929084,5,1.3333333333333333,0.3333333333333333,O4,de-protonated,0,-9999,C12 H16 O4,12,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
31,223.133917,223.1339911728599,223.13396805098907,788839.4,-9999,925420.5,12.31,-1,0.10362326740866606,0.9980535404582888,0,0.5988321242749733,4,1.5384615384615383,0.2307692307692308,O3,de-protonated,0,-9999,C13 H20 O3,13,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32,225.113166,225.11323808687288,225.11323260609907,928739.4,-9999,602682.4,14.78,-1,0.02434674205812253,0.9998924495622972,0,0.5999354697373783,4,1.5,0.3333333333333333,O4,de-protonated,0,-9999,C12 H18 O4,12,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
33,227.09241,227.0924800008911,227.09249716120908,1782852.6,-9999,631625.7,30.18,-1,-0.07556532336091484,0.9989644431325142,0,0.5993786658795085,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
34,227.128807,227.12887696253125,227.12888267055905,2115019.3,-9999,566921.5,36.17,-1,-0.02513122828167525,0.9998854074526142,0,0.5999312444715685,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,229.071622,229.07168991494305,229.0717617163191,787498.4,-9999,1027725.9,12.17,-1,-0.3134449025917117,0.9823310420940068,0,0.5893986252564041,4,1.4,0.6,O6,de-protonated,0,-9999,C10 H14 O6,10,14,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,229.108077,229.10814487652212,229.1081472256691,1215793,-9999,781033.3,19.87,-1,-0.01025344142521243,0.9999809239261334,0,0.59998855435568,3,1.6363636363636365,0.4545454545454546,O5,de-protonated,0,-9999,C11 H18 O5,11,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
