Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,33S,34S
4,215.031735,215.031922785961,215.0318289116691,3872275.5,-9999,532455.5,69.39,-1,0.4365599845438041,0.9660097719319406,0,0.5796058631591643,4,1.5,0.125,N2 S2 O1,de-protonated,0,-9999,C8 H12 O1 N2 S2,8,12,1,2,-9999,2,-9999,-9999,-9999,-9999
6,217.028783,217.02896581106896,217.02885153151908,1260706.9,-9999,660810.2,21.18,-1,0.5265638603811683,0.9509344118661474,0,0.5705606471196883,4,1.4285714285714286,0.5714285714285714,N2 S1 O4,de-protonated,0,-9999,C7 H10 O4 N2 S1,7,10,4,2,-9999,1,-9999,-9999,-9999,-9999
41,245.1393,245.1394127843156,245.13944735458907,878284.6,-9999,1672935.3,13.62,-1,-0.14102289061837675,0.9963979502949089,0,0.5978387701769452,2,1.8333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H22 O5,12,22,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
43,251.077963,251.0780609903761,251.07811039978907,1595034.4,-9999,463265,26.13,-1,-0.19678901080592143,0.9929978636372884,0,0.5957987181823731,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,-9999,-9999,-9999
45,251.095223,251.0953209473793,251.09548834200908,5778973,-9999,499463.1,99.93,-1,-0.6666572581193069,0.9225242793140158,0,0.5535145675884094,6,1.4166666666666667,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H17 O2 N2 P1,12,17,2,2,1,-9999,-9999,-9999,-9999,-9999
50,254.986725,254.98681325316943,254.9869867185691,1294841.4,-9999,572468.3,20.73,-1,-0.6802911861791207,0.9194553969890624,0,0.5516732381934375,12,0.3333333333333333,0.25,N2 S1 O3,de-protonated,0,-9999,C12 H4 O3 N2 S1,12,4,3,2,-9999,1,-9999,-9999,-9999,-9999
59,256.065023,256.0651085669966,256.06490268823904,1299930.9,-9999,444117.8,20.82,-1,0.8040100592545342,0.8893234543196614,0,0.5335940725917968,5,1.3636363636363635,0.3636363636363637,N1 S1 O4,de-protonated,0,-9999,C11 H15 O4 N1 S1,11,15,4,1,-9999,1,-9999,-9999,-9999,-9999
67,258.981788,258.98186630097644,258.9819013381391,2761153.3,-9999,600880.3,46.19,-1,-0.13528807410835098,0.9966844780755818,0,0.5980106868453491,11,0.3636363636363637,0.3636363636363637,N2 S1 O4,de-protonated,0,-9999,C11 H4 O4 N2 S1,11,4,4,2,-9999,1,-9999,-9999,-9999,-9999
73,260.979767,260.97984032376513,260.9797933378591,2761685.5,-9999,455164.3,45.9,-1,0.18003656685232416,0.9941359348616172,0,0.5964815609169704,10,0.5454545454545454,0.18181818181818185,N2 S2 O2,de-protonated,0,-9999,C11 H6 O2 N2 S2,11,6,2,2,-9999,2,-9999,-9999,-9999,-9999
75,261.134108,261.13418093928277,261.13436197415905,1030762.4,-9999,679876.1,15.88,-1,-0.693263325855687,0.9164875592451084,0,0.549892535547065,2,1.8333333333333333,0.5,O6,de-protonated,0,-9999,C12 H22 O6,12,22,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79,263.043611,263.04367918247607,263.0438466913691,4986600.5,-9999,415878.4,84.48,-1,-0.636809775712945,0.9290596947413404,0,0.5574358168448043,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,-9999,-9999,-9999
83,265.040692,265.0407552075018,265.0407363694891,2077672.5,-9999,579168.4,33.81,-1,0.07107591440813839,0.9990837801237116,0,0.599450268074227,17,0.3333333333333333,0.05555555555555555,N2 O1,de-protonated,0,-9999,C18 H6 O1 N2,18,6,1,2,-9999,-9999,-9999,-9999,-9999,-9999
84,265.147458,265.14752094153454,265.1475239158191,6590198,-9999,414266.7,111.57,-1,-0.01121747055148124,0.9951976176674766,0.9964532636525836,0.9956998760615192,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999,-9999,-9999
87,266.089086,266.0891465958235,266.0890094364491,2820075.3,-9999,409554.2,46.6,-1,0.5154642601745544,0.9529321886587906,0,0.5717593131952743,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,-9999,-9999,-9999
88,266.150757,266.15081744219344,266.1508787508891,967027,-9999,824801,14.67,-1,-0.23035315884309,0.9904180670610911,0.9964532636525836,0.992832145697688,5,1.7692307692307692,0.07692307692307693,13C1 N2 P1 O1,de-protonated,1,84,C13 H23 O1 N2 P1 13C1,13,23,1,2,1,-9999,1,-9999,-9999,-9999
