Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,33S,34S
11,245.048293,245.04829561923063,245.0485381486291,1369125.1,-9999,702476.2,22.41,-1,-0.9897198338551992,0.8371623867517958,0,0.5022974320510775,9,0.9166666666666666,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H11 O2 N2 P1,12,11,2,2,1,-9999,-9999,N/A,N/A,-9999
16,251.09533,251.09533273070417,251.09548834200908,5097945.5,-9999,493079.1,88.15,-1,-0.6197295935532386,0.9326847275663376,0,0.5596108365398025,6,1.4166666666666667,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H17 O2 N2 P1,12,17,2,2,1,-9999,-9999,N/A,N/A,-9999
39,265.147536,265.1475389897482,265.1475239158191,2996653,-9999,474532.1,49.66,-1,0.0568511028345214,0.9994137210843138,0,0.5996482326505883,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A,N/A,-9999
42,267.050721,267.05072402483233,267.0508640800991,1755426.9,-9999,508352,28.26,-1,-0.5244516516469246,0.9513175345125172,0,0.5707905207075102,2,2.4285714285714284,0.14285714285714285,N4 S2 P1 O1,de-protonated,0,-9999,C7 H17 O1 N4 P1 S2,7,17,1,4,1,2,-9999,N/A,N/A,-9999
44,267.123566,267.1235690261751,267.12379729012906,1149228.3,-9999,467944.8,17.82,-1,-0.854524966546202,0.8759062846335162,0,0.5255437707801097,5,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,-9999,C14 H20 O5,14,20,5,-9999,-9999,-9999,-9999,N/A,N/A,-9999
48,269.102824,269.1028270626616,269.1030618452391,2037670.8,-9999,464422.9,32.88,-1,-0.8724634192907558,0.8709964618772866,0,0.522597877126372,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
51,271.045717,271.0457200984777,271.0459408909991,1044376,-9999,561319.4,15.88,-1,-0.8145944581766755,0.8865632217265036,0,0.5319379330359021,6,1.0909090909090908,0.7272727272727273,O8,de-protonated,0,-9999,C11 H12 O8,11,12,8,-9999,-9999,-9999,-9999,N/A,N/A,-9999
52,271.082069,271.0820720991478,271.0823264003491,2525724.5,-9999,451163.5,41.22,-1,-0.93809583473548,0.8524172333199079,0,0.5114503399919448,5,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H16 O7,12,16,7,-9999,-9999,-9999,-9999,N/A,N/A,-9999
53,271.118474,271.1184770998189,271.1187119096991,2046240.9,-9999,459932.3,33.02,-1,-0.8660777358930628,0.8727527674230856,0,0.5236516604538514,4,1.5384615384615383,0.4615384615384616,O6,de-protonated,0,-9999,C13 H20 O6,13,20,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
54,271.154934,271.15493710049105,271.15509741904907,1070373.4,-9999,630266.4,16.33,-1,-0.5912430175295955,0.9385410256373672,0,0.5631246153824202,3,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,-9999,C14 H24 O5,14,24,5,-9999,-9999,-9999,-9999,N/A,N/A,-9999
55,273.06138,273.0613831356352,273.06159095545905,1542798,-9999,470381.3,24.22,-1,-0.761073071936816,0.9002336614342531,0,0.5401401968605518,5,1.2727272727272727,0.7272727272727273,O8,de-protonated,0,-9999,C11 H14 O8,11,14,8,-9999,-9999,-9999,-9999,N/A,N/A,-9999
56,273.097797,273.09780013630655,273.0979764648091,2110738.5,-9999,627439.6,33.86,-1,-0.6456602309702383,0.9271482439027652,0,0.556288946341659,4,1.5,0.5833333333333334,O7,de-protonated,0,-9999,C12 H18 O7,12,18,7,-9999,-9999,-9999,-9999,N/A,N/A,-9999
57,273.134172,273.1341751369771,273.13436197415905,2469782.8,-9999,508410,39.95,-1,-0.6840486147787063,0.918600535388376,0,0.5511603212330256,3,1.6923076923076923,0.4615384615384616,O6,de-protonated,0,-9999,C13 H22 O6,13,22,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
59,275.077074,275.07707717279334,275.0772410199191,1091776.3,-9999,628921.6,16.56,-1,-0.5956404286316156,0.9376526296173135,0,0.5625915777703882,4,1.4545454545454546,0.7272727272727273,O8,de-protonated,0,-9999,C11 H16 O8,11,16,8,-9999,-9999,-9999,-9999,N/A,N/A,-9999
60,275.113497,275.1135001734648,275.1136265292691,1197252.5,-9999,443911.7,18.35,-1,-0.45928588086286626,0.9624478225230996,0,0.5774686935138597,3,1.6666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H20 O7,12,20,7,-9999,-9999,-9999,-9999,N/A,N/A,-9999
61,275.149827,275.14983017413454,275.1500120386191,1038856.9,-9999,647929.5,15.66,-1,-0.6609648431350498,0.9237901824121676,0,0.5542741094473005,2,1.8461538461538465,0.4615384615384616,O6,de-protonated,0,-9999,C13 H24 O6,13,24,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
62,277.035183,277.03518620888997,277.0353762069691,1192680.4,-9999,642021.8,18.27,-1,-0.6858260548656014,0.918194783644235,0,0.550916870186541,9,0.7692307692307693,0.5384615384615384,O7,de-protonated,0,-9999,C13 H10 O7,13,10,7,-9999,-9999,-9999,-9999,N/A,N/A,-9999
62,277.035183,277.03518620888997,277.0352140156391,1192680.4,-9999,642021.8,18.27,-1,-0.10037261591323296,0.9981736356473208,0,0.5989041813883925,4,1.875,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H15 O1 N4 P1 S2,8,15,1,4,1,2,-9999,N/A,N/A,-9999
63,277.059516,277.0595192093385,277.0594967558291,4003435.3,-9999,510077.9,65.97,-1,0.08104219354427687,0.998808984402782,0,0.5992853906416691,4,1.6666666666666667,0.6666666666666666,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,N/A,N/A,-9999
64,277.071615,277.07161820956156,277.0717617163191,1995372.8,-9999,475423.7,31.89,-1,-0.517940755259361,0.9524897806009884,0,0.5714938683605931,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
65,277.107962,277.10796521023155,277.1081472256691,1508209,-9999,770296.1,23.62,-1,-0.6568389971685225,0.9247019941804364,0,0.5548211965082618,7,1.2,0.3333333333333333,O5,de-protonated,0,-9999,C15 H18 O5,15,18,5,-9999,-9999,-9999,-9999,N/A,N/A,-9999
66,277.144408,277.1444112109034,277.1445327350191,991989.3,-9999,602201.9,14.86,-1,-0.438486426143627,0.9657143410671084,0,0.5794286046402651,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
67,279.05093,279.050933246049,279.05102627142907,1814612.9,-9999,459378.9,28.59,-1,-0.3333633325434085,0.98003735157951,0,0.588022410947706,8,0.9230769230769232,0.5384615384615384,O7,de-protonated,0,-9999,C13 H12 O7,13,12,7,-9999,-9999,-9999,-9999,N/A,N/A,-9999
67,279.05093,279.050933246049,279.0508640800991,1814612.9,-9999,459378.9,28.59,-1,0.2478614432960365,0.9889145479356264,0,0.5933487287613758,3,2.125,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H17 O1 N4 P1 S2,8,17,1,4,1,2,-9999,N/A,N/A,-9999
68,279.056365,279.05636824614925,279.05638643394906,838709.5,-9999,715745.7,12.16,-1,-0.06517607442224167,0.9992295173478968,0,0.5995377104087379,17,0.42105263157894735,0.05263157894736842,N2 O1,de-protonated,0,-9999,C19 H8 O1 N2,19,8,1,2,-9999,-9999,-9999,N/A,N/A,-9999
69,279.056662,279.0566652461547,279.05638643394906,1280085.5,-9999,621273.1,19.59,-1,0.999124976850698,0.8343258198449327,0,0.5005954919069596,17,0.42105263157894735,0.05263157894736842,N2 O1,de-protonated,0,-9999,C19 H8 O1 N2,19,8,1,2,-9999,-9999,-9999,N/A,N/A,-9999
70,279.087287,279.08729024671925,279.08741178077906,1577625.1,-9999,428564.1,24.6,-1,-0.4354695148720648,0.9661764650168456,0,0.5797058790101074,7,1.1428571428571428,0.42857142857142855,O6,de-protonated,0,-9999,C14 H16 O6,14,16,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
71,279.123685,279.12368824739025,279.12379729012906,1307613.4,-9999,599855.2,20.06,-1,-0.39066084609106955,0.9726879533270866,0,0.58361277199625194,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,N/A,N/A,-9999
