Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
16,187.097668,187.09757055804332,187.0975825416391,1024199.4,-9999,904612.6,17.51,-1,-0.06404997659754515,0.9992559019779516,0,0.599553541186771,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,N/A,N/A,-9999
24,195.139042,195.1389541255461,195.13905343141903,789956.9,-9999,962824.4,12.89,-1,-0.508897994627745,0.95409592040707,0,0.5724575522442421,3,1.6666666666666667,0.16666666666666666,O2,de-protonated,0,-9999,C12 H20 O2,12,20,2,-9999,-9999,-9999,-9999,-9999,N/A,N/A,-9999
25,195.139182,195.1390941257127,195.13905343141903,800260.9,-9999,1082584.3,13.08,-1,0.20853997657189371,0.992140044535049,0,0.5952840267210294,3,1.6666666666666667,0.16666666666666666,O2,de-protonated,0,-9999,C12 H20 O2,12,20,2,-9999,-9999,-9999,-9999,-9999,N/A,N/A,-9999
26,199.097638,199.0975548354226,199.0975825416391,862890.6,-9999,980066.2,14.21,-1,-0.13915898003502714,0.9964923721079554,0,0.5978954232647732,3,1.6,0.4,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,N/A,N/A,-9999
27,199.17044,199.1703569220413,199.17035356033907,1951121.9,-9999,801523.3,34.51,-1,0.01687852718398335,0.9999483093850876,0,0.5999689856310525,1,2,0.16666666666666666,O2,de-protonated,0,-9999,C12 H24 O2,12,24,2,-9999,-9999,-9999,-9999,-9999,N/A,N/A,-9999
28,201.113305,201.1132242336321,201.11323260609907,894779.6,-9999,769105.6,14.76,-1,-0.04163061205154403,0.9996855792961588,0,0.5998113475776953,2,1.8,0.4,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999,N/A,N/A,-9999
29,205.159869,205.1597930481715,205.15978887630908,6275377,-9999,684544.6,114.6,-1,0.02033469852995775,0.9998414535490396,0.9872747883195676,0.9948147874572508,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999,N/A,N/A,-9999
30,206.163226,206.16315124195023,206.1631437113791,1057663,-9999,778882.5,17.61,-1,0.03652724247189567,0.9997579333087856,0.9872747883195676,0.9947646753130984,4,1.6923076923076923,0.07692307692307693,13C1 O1,de-protonated,1,29,C13 H22 O1 13C1,13,22,1,-9999,-9999,-9999,1,-9999,N/A,N/A,-9999
31,207.139126,207.13905240306104,207.13905343141903,1050765,-9999,968004.3,17.48,-1,-0.00496457826392934,0.9999955278374536,0,0.5999973167024721,4,1.5384615384615383,0.15384615384615383,O2,de-protonated,0,-9999,C13 H20 O2,13,20,2,-9999,-9999,-9999,-9999,-9999,N/A,N/A,-9999
33,209.081982,209.0819107146411,209.08193247717907,865329.6,-9999,792870.9,14,-1,-0.10408617185133116,0.998036128345903,0,0.5988216770075419,5,1.2727272727272727,0.3636363636363637,O4,de-protonated,0,-9999,C11 H14 O4,11,14,4,-9999,-9999,-9999,-9999,-9999,N/A,N/A,-9999
