Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
0,161.081832,161.08194282877665,161.08193247717907,763773.3,-9999,1410575.5,12.57,-1,0.0642629339101066,0.9992509475628892,0,0.5995505685377336,1,2,0.5714285714285714,O4,de-protonated,0,-9999,C7 H14 O4,7,14,4,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
1,171.066204,171.0663065720019,171.0662824127191,778898.6,-9999,1008987.1,12.86,-1,0.1412276136696904,0.9963875034331104,0,0.5978325020598662,3,1.5,0.5,O4,de-protonated,0,-9999,C8 H12 O4,8,12,4,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
5,187.097521,187.09761031458595,187.0975825416391,837517.8,-9999,794721.1,13.97,-1,0.14844097114170351,0.9960098107012018,0,0.597605886420721,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
19,190.957432,190.95751812255588,190.95734035992908,883648.8,-9999,773967.4,14.76,-1,0.9309022971836262,0.8544992647228392,0,0.5126995588337036,4,1,0.8,S1 P1 O4,de-protonated,0,-9999,C5 H5 O4 P1 S1,5,5,4,-9999,1,1,-9999,-9999,-9999,N/A,-9999
20,195.138989,195.13907166453427,195.13905343141903,1107300.8,-9999,979738.3,18.88,-1,0.09343652586494912,0.9984171372765492,0,0.5990502823659295,3,1.6666666666666667,0.16666666666666666,O2,de-protonated,0,-9999,C12 H20 O2,12,20,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
21,199.061134,199.06121342103856,199.06119703228907,779129.3,-9999,1056721.1,12.65,-1,0.08233020664362485,0.9987708491221232,0,0.599262509473274,4,1.3333333333333333,0.5555555555555556,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
22,199.0975,199.09757939096497,199.0975825416391,823388.8,-9999,961938.3,13.48,-1,-0.01582477342033224,0.9999545620256216,0,0.5999727372153729,3,1.6,0.4,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
23,201.113165,201.11324272407077,201.11323260609907,875685.9,-9999,882275.3,14.42,-1,0.05030982579662755,0.9995408445623524,0,0.5997245067374113,2,1.8,0.4,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
24,204.066582,204.06665728168392,204.0666167653491,850729.6,-9999,914626.5,13.85,-1,0.19854464924807125,0.9928728165239008,0,0.5957236899143404,7,1,0.2727272727272727,N1 O3,de-protonated,0,-9999,C11 H11 O3 N1,11,11,3,1,-9999,-9999,-9999,-9999,-9999,N/A,-9999
25,209.081867,209.08193813419436,209.08193247717907,802199.1,-9999,896049.5,12.85,-1,0.02705645211191987,0.9998671790201948,0,0.5999203074121168,5,1.2727272727272727,0.3636363636363637,O4,de-protonated,0,-9999,C11 H14 O4,11,14,4,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
26,209.154641,209.15471207401248,209.15470349587903,980224.7,-9999,1068986.5,16.14,-1,0.04101334215504589,0.9996948327838469,0,0.599816899670308,3,1.6923076923076923,0.15384615384615383,O2,de-protonated,0,-9999,C13 H22 O2,13,22,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
27,211.0975,211.09756946732665,211.0975825416391,848391.7,-9999,1015228.3,13.66,-1,-0.06193492279582426,0.9993042168642774,0,0.5995825301185664,4,1.4545454545454546,0.3636363636363637,O4,de-protonated,0,-9999,C11 H16 O4,11,16,4,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
28,211.133925,211.13399443720425,211.13396805098907,888300.7,-9999,831411.5,14.39,-1,0.12497380419720538,0.997170064289052,0,0.5983020385734311,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
31,213.113168,213.11323580042995,213.11323260609907,860100.1,-9999,865520.7,13.87,-1,0.01498889033608909,0.999959235329104,0,0.5999755411974624,3,1.6363636363636365,0.3636363636363637,O4,de-protonated,0,-9999,C11 H18 O4,11,18,4,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
32,215.092412,215.0924781636548,215.09249716120908,1195589.9,-9999,1010016.2,19.97,-1,-0.08832271936335696,0.9985855377389796,0,0.5991513226433878,3,1.6,0.5,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
33,215.128841,215.1289071335291,215.12888267055905,1643403.3,-9999,775882.6,28.19,-1,0.11371309029561816,0.9976564977760972,0,0.5985938986656583,2,1.818181818181818,0.3636363636363637,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
34,217.108071,217.10813549676556,217.1081472256691,848118.8,-9999,1030186.1,13.54,-1,-0.05402332284652749,0.9994705786797804,0,0.5996823472078683,2,1.8,0.5,O5,de-protonated,0,-9999,C10 H18 O5,10,18,5,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999
35,218.103342,218.10340567370645,218.10339619786907,1244240.8,-9999,943026.3,20.78,-1,0.04344653746167556,0.9996575558136416,0,0.5997945334881849,2,1.8888888888888888,0.5555555555555556,N1 O5,de-protonated,0,-9999,C9 H17 O5 N1,9,17,5,1,-9999,-9999,-9999,-9999,-9999,N/A,-9999
