Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,34S
4,215.092379,215.0923978474036,215.09249716120908,766965.8,-9999,583939.7,12.14,-1,-0.461726033100416,0.9620554264563316,0,0.5772332558737988,3,1.6,0.5,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,N/A,-9999
5,215.128767,215.12878585036233,215.12888267055905,829595.1,-9999,732525.3,13.3,-1,-0.4500567079369328,0.9639145588632968,0,0.5783487353179781,2,1.818181818181818,0.3636363636363637,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,N/A,-9999
6,225.076758,225.0767776592375,225.07684709674908,1023267.9,-9999,633224.1,16.6,-1,-0.3085057945195457,0.9828787351383464,0,0.5897272410830079,5,1.2727272727272727,0.4545454545454546,O5,de-protonated,0,-9999,C11 H14 O5,11,14,5,-9999,-9999,-9999,-9999,N/A,-9999
7,227.05609,227.05610982017785,227.05611165185908,795659.5,-9999,980318.3,12.46,-1,-0.00806708635444719,0.9999881917734754,0,0.5999929150640853,5,1.2,0.6,O6,de-protonated,0,-9999,C10 H12 O6,10,12,6,-9999,-9999,-9999,-9999,N/A,-9999
8,227.092266,227.09228582311928,227.09249716120908,1016017.6,-9999,867009,16.46,-1,-0.930625592830984,0.8545791324554164,0,0.5127474794732498,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,N/A,-9999
9,227.092515,227.09253482313952,227.09249716120908,1085585.6,-9999,735548.3,17.72,-1,0.16584401028456636,0.995021824946662,0,0.5970130949679971,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,N/A,-9999
10,227.128658,227.12867782607833,227.12888267055905,851511.6,-9999,800372.5,13.47,-1,-0.901886533810984,0.8627845788217252,0,0.5176707472930351,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,N/A,-9999
11,227.128853,227.12887282609415,227.12888267055905,894935.6,-9999,777883.3,14.26,-1,-0.04334307796616039,0.9996591845228632,0,0.5997955107137178,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,N/A,-9999
12,229.071679,229.07169898406613,229.0717617163191,1060766.1,-9999,716253.4,17.2,-1,-0.27385415158420146,0.9864842263463466,0,0.5918905358078079,4,1.4,0.6,O6,de-protonated,0,-9999,C10 H14 O6,10,14,6,-9999,-9999,-9999,-9999,N/A,-9999
13,229.108097,229.1081169870273,229.1081472256691,1016516.3,-9999,503170,16.4,-1,-0.13198414002503103,0.9968441878521928,0,0.5981065127113157,3,1.6363636363636365,0.4545454545454546,O5,de-protonated,0,-9999,C11 H18 O5,11,18,5,-9999,-9999,-9999,-9999,N/A,-9999
