Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S
71,277.184165,277.18413502012555,277.18428954768905,2046148.9,-9999,675705,32.89,-1,-0.5574903388192757,0.9451672044891998,0,0.5671003226935198,0,2.142857142857143,0.21428571428571427,S1 O3,de-protonated,0,-9999,C14 H30 O3 S1,14,30,3,-9999,-9999,1,-9999,N/A,-9999,-9999
72,278.056629,278.05659917845924,278.0565316502791,1342750.1,-9999,536758.3,20.75,-1,0.24285773732494736,0.989137545188656,0.9743514846166192,0.9832231209598412,4,1.6666666666666667,0.6666666666666666,N1 15N1 P1 O6,de-protonated,1,67,C9 H15 O6 N1 P1 15N1,9,15,6,1,1,-9999,-9999,TRUE,-9999,-9999
73,278.062942,278.0629121796049,278.06285159089913,18438942,-9999,523466.4,310.08,-1,0.21789572184087283,0.989654256050825,0.9743514846166192,0.9835331474771428,4,1.875,0.75,13C1 N2 P1 O6,de-protonated,1,67,C8 H15 O6 N2 P1 13C1,8,15,6,2,1,-9999,1,N/A,-9999,-9999
74,279.038902,279.0388723567209,279.0387613109391,5566849.5,-9999,567316.3,92.24,-1,0.39795826674941975,0.9716727867363724,0,0.5830036720418234,4,1.625,0.875,N2 P1 O7,de-protonated,0,-9999,C8 H13 O7 N2 P1,8,13,7,2,1,-9999,-9999,N/A,-9999,-9999
75,279.056693,279.05666335994954,279.05638643394906,54302596,-9999,505569.4,917,-1,0.99236575095074,0.27878870851906673,0.8159918647807675,0.493669971023747,17,0.42105263157894735,0.05263157894736842,N2 O1,de-protonated,0,-9999,C19 H8 O1 N2,19,8,1,2,-9999,-9999,-9999,N/A,-9999,-9999
76,279.063848,279.063818361248,279.0639134309991,1718532.3,-9999,465149.9,27.11,-1,-0.3406737542666323,0.9791615039755184,0,0.587496902385311,3,1.7,0.7,P1 O7,de-protonated,0,-9999,C10 H17 O7 P1,10,17,7,-9999,1,-9999,-9999,N/A,-9999,-9999
76,279.063848,279.063818361248,279.0637417491191,1718532.3,-9999,465149.9,27.11,-1,0.274532722980552,0.9884031406022598,0.9743514846166192,0.9827824782080036,4,1.6666666666666667,0.5555555555555556,N2 P1 O5 18O1,de-protonated,1,67,C9 H15 O5 N2 P1 18O1,9,15,5,2,1,-9999,-9999,N/A,1,-9999
77,279.066209,279.0661793616765,279.0662824127191,956804.4,-9999,702443.7,14.22,-1,-0.36927084734560667,0.97556107025892,0,0.585336642155352,12,0.7058823529411765,0.2352941176470588,O4,de-protonated,0,-9999,C17 H12 O4,17,12,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
78,279.098625,279.09859536755937,279.0986451700691,1507079.8,-9999,535098.1,23.53,-1,-0.17844052850777878,0.9942391460733656,0,0.5965434876440193,7,1.2307692307692308,0.38461538461538464,N2 O5,de-protonated,0,-9999,C13 H16 O5 N2,13,16,5,2,-9999,-9999,-9999,N/A,-9999,-9999
79,279.12379,279.12376037212624,279.12379729012906,1036554.3,-9999,575449.9,15.57,-1,-0.13226390289379844,0.9968308163546548,0,0.5980984898127928,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
80,279.148096,279.14806637653726,279.1479178389891,985676.7,-9999,531304.3,14.71,-1,0.5321105359501741,0.9499217412264516,0,0.5699530447358709,1,2.272727272727273,0.3636363636363637,N2 P1 O4,de-protonated,0,-9999,C11 H25 O4 N2 P1,11,25,4,2,1,-9999,-9999,N/A,-9999,-9999
81,279.160165,279.16013537872755,279.16018279947906,2866318,-9999,535776.8,46.53,-1,-0.16986932390728784,0.9947778745628528,0,0.5968667247377117,5,1.5,0.25,O4,de-protonated,0,-9999,C16 H24 O4,16,24,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
82,279.163462,279.16343237932585,279.1635541027991,1736974.3,-9999,482708.9,27.42,-1,-0.43602924321276887,0.966090951428178,0,0.5796545708569069,0,2.1538461538461537,0.3076923076923077,S1 O4,de-protonated,0,-9999,C13 H28 O4 S1,13,28,4,-9999,-9999,1,-9999,N/A,-9999,-9999
82,279.163462,279.16343237932585,279.1631739802791,1736974.3,-9999,482708.9,27.42,-1,0.9256201061860192,0.8560210951426749,0,0.5136126570856049,5,1.6666666666666667,0.06666666666666667,N2 P1 O1,de-protonated,0,-9999,C15 H25 O1 N2 P1,15,25,1,2,1,-9999,-9999,N/A,-9999,-9999
83,280.060059,280.06002954203916,280.06003178306906,5531880.5,-9999,484849.5,91.64,-1,-0.00800196261352626,0.9999883816530524,0,0.5999930289918314,2,2,0.2,N1 S2 P1 O2,de-protonated,0,-9999,C10 H20 O2 N1 P1 S2,10,20,2,1,1,2,-9999,N/A,-9999,-9999
86,281.103074,281.10304473132413,281.1030618452391,998480.3,-9999,673239,14.92,-1,-0.06088128265819492,0.9993276810035956,0,0.5995966086021574,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,-9999,C14 H18 O6,14,18,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
87,281.139495,281.1394657379338,281.1394473545891,1817940,-9999,578005.3,28.79,-1,0.0653887060971843,0.9992244838256512,0,0.5995346902953906,5,1.4666666666666666,0.3333333333333333,O5,de-protonated,0,-9999,C15 H22 O5,15,22,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
88,281.142915,281.14288573855447,281.14281865790906,907732.3,-9999,650781.7,13.38,-1,0.23859988929609244,0.989723312867169,0,0.5938339877203014,0,2.1666666666666665,0.4166666666666667,S1 O5,de-protonated,0,-9999,C12 H26 O5 S1,12,26,5,-9999,-9999,1,-9999,N/A,-9999,-9999
89,281.175905,281.17587574454143,281.1758328639391,2693975.5,-9999,537427.1,43.61,-1,0.1525045801401833,0.9957888224923204,0,0.5974732934953921,4,1.625,0.25,O4,de-protonated,0,-9999,C16 H26 O4,16,26,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
91,283.118903,283.1188740971542,283.1187119096991,1386455.4,-9999,485028.2,21.33,-1,0.5728602466861944,0.9421923717682584,0,0.565315423060955,5,1.4285714285714286,0.42857142857142855,O6,de-protonated,0,-9999,C14 H20 O6,14,20,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
92,283.155295,283.1552661037586,283.15509741904907,1656346.9,-9999,554100,25.86,-1,0.595732554607842,0.9376339563063284,0,0.5625803737837971,4,1.6,0.3333333333333333,O5,de-protonated,0,-9999,C15 H24 O5,15,24,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
95,283.191672,283.19164311036025,283.19148292839907,13554974,-9999,484073,225.74,-1,0.5656312807201929,0.9235522355143682,0.982094832723702,0.9469692743981016,3,1.75,0.25,O4,de-protonated,0,-9999,C16 H28 O4,16,28,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
96,284.195079,284.1950502924573,284.1948377634691,2686848.8,-9999,535604.9,43.17,-1,0.7478284613309921,0.9035040309940716,0.982094832723702,0.9349403516859238,3,1.8666666666666667,0.26666666666666666,13C1 O4,de-protonated,1,95,C15 H28 O4 13C1,15,28,4,-9999,-9999,-9999,1,N/A,-9999,-9999
97,285.098271,285.0982424563674,285.0979764648091,942936.8,-9999,662219.8,13.87,-1,0.9329829752085944,0.8538981784851302,0,0.5123389070910781,5,1.3846153846153846,0.5384615384615384,O7,de-protonated,0,-9999,C13 H18 O7,13,18,7,-9999,-9999,-9999,-9999,N/A,-9999,-9999
98,285.13462,285.13459146296395,285.13436197415905,1552476.4,-9999,553968.3,24.11,-1,0.8048444365531412,0.8891068635563842,0,0.5334641181338305,4,1.5714285714285714,0.42857142857142855,O6,de-protonated,0,-9999,C14 H22 O6,14,22,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
99,285.145767,285.1457384649869,285.1455953634491,1289565.4,-9999,440686.8,19.69,-1,0.5018542811615837,0.9553292320175842,0,0.5731975392105505,4,1.6923076923076923,0.38461538461538464,N2 O5,de-protonated,0,-9999,C13 H22 O5 N2,13,22,5,2,-9999,-9999,-9999,N/A,-9999,-9999
100,285.17103,285.1710014695716,285.17074748350905,1322591.9,-9999,469184.9,20.25,-1,0.8906455686195737,0.865944824986252,0,0.5195668949917512,3,1.7333333333333334,0.3333333333333333,O5,de-protonated,0,-9999,C15 H26 O5,15,26,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
102,285.207412,285.20738347617413,285.2071329928591,6712291.5,-9999,457529,110.79,-1,0.8782505276071628,0.4346983637309361,0.8524773804394659,0.601809970414348,2,1.875,0.25,O4,de-protonated,0,-9999,C16 H30 O4,16,30,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
104,286.17754,286.1775116522318,286.1772298449991,1368129.6,-9999,571726.3,21.01,-1,0.9847297523790398,0.8386603649245007,0,0.5031962189547003,3,1.9230769230769231,0.3076923076923077,N3 O4,de-protonated,0,-9999,C13 H25 O4 N3,13,25,4,3,-9999,-9999,-9999,N/A,-9999,-9999
118,288.987798,288.9877701622338,288.9875951169991,2393425.8,-9999,556660.2,37.94,-1,0.6057188531825287,0.935594918576484,0,0.5613569511458905,6,1.2222222222222223,0.3333333333333333,N2 S2 P1 O3,de-protonated,0,-9999,C9 H11 O3 N2 P1 S2,9,11,3,2,1,2,-9999,N/A,-9999,-9999
119,289.052803,289.0527751740308,289.0529720803791,3120216,-9999,566931.4,50.06,-1,-0.6812119830645964,0.91924626638209,0,0.551547759829254,5,1.6666666666666667,0.3333333333333333,N4 S1 P1 O3,de-protonated,0,-9999,C9 H15 O3 N4 P1 S1,9,15,3,4,1,1,-9999,N/A,-9999,-9999
122,291.039549,291.03952153458295,291.0396306908091,3886104.3,-9999,528277.9,62.34,-1,-0.3750562281560871,0.9747991063535514,0,0.5848794638121309,4,1.7,0.2,N2 S2 P1 O2,de-protonated,0,-9999,C10 H17 O2 N2 P1 S2,10,17,2,2,1,2,-9999,N/A,-9999,-9999
128,293.036694,293.03666689702226,293.03665331065906,1104474.4,-9999,468835,16.32,-1,0.04636404027235846,0.9996100295655788,0,0.5997660177393473,4,1.6666666666666667,0.5555555555555556,N2 S1 P1 O5,de-protonated,0,-9999,C9 H15 O5 N2 P1 S1,9,15,5,2,1,1,-9999,N/A,-9999,-9999
129,293.055307,293.05527990040014,293.0552807552691,1981148.1,-9999,587658.9,30.82,-1,-0.00291709117082745,0.9999984559779488,0,0.5999990735867692,3,1.9,0.2,N2 S2 P1 O2,de-protonated,0,-9999,C10 H19 O2 N2 P1 S2,10,19,2,2,1,2,-9999,N/A,-9999,-9999
130,293.103756,293.10372890919257,293.1039312251091,1033120.9,-9999,521195.8,15.14,-1,-0.690253166052421,0.9171803760208334,0,0.5503082256125,6,1.375,0.0625,S2 O1,de-protonated,0,-9999,C16 H22 O1 S2,16,22,1,-9999,-9999,2,-9999,N/A,-9999,-9999
139,295.083145,295.0831182684096,295.0831957802191,1086498.6,-9999,687638.9,16.02,-1,-0.26267781644171284,0.9875581546340528,0,0.5925348927804317,6,1.3333333333333333,0.13333333333333333,S2 O2,de-protonated,0,-9999,C15 H20 O2 S2,15,20,2,-9999,-9999,2,-9999,N/A,-9999,-9999
140,295.119541,295.1195142750147,295.11958128956906,2292134.3,-9999,511556,35.96,-1,-0.2270759333150203,0.9906875067453472,0,0.5944125040472082,5,1.5,0.0625,S2 O1,de-protonated,0,-9999,C16 H24 O1 S2,16,24,1,-9999,-9999,2,-9999,N/A,-9999,-9999
145,297.098883,297.0988566342231,297.0988458446791,1414122.3,-9999,551928,21.27,-1,0.03631634449615627,0.999760720155149,0,0.5998564320930894,5,1.4666666666666666,0.13333333333333333,S2 O2,de-protonated,0,-9999,C15 H22 O2 S2,15,22,2,-9999,-9999,2,-9999,N/A,-9999,-9999
146,297.135303,297.1352766408326,297.1352313540291,1969261.9,-9999,486261.2,30.38,-1,0.1524114233119004,0.9957939548522668,0,0.59747637291136,4,1.625,0.0625,S2 O1,de-protonated,0,-9999,C16 H26 O1 S2,16,26,1,-9999,-9999,2,-9999,N/A,-9999,-9999
152,299.114716,299.1146900000539,299.11449590913907,2013236.6,-9999,503636.7,31.09,-1,0.6488850171823097,0.9264462122449878,0,0.5558677273469926,4,1.6,0.13333333333333333,S2 O2,de-protonated,0,-9999,C15 H24 O2 S2,15,24,2,-9999,-9999,2,-9999,N/A,-9999,-9999
