Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
6,205.159797,205.15985769248033,205.15978887630908,1212618.3,-9999,509432.8,20.7,-1,0.335427188862083,0.97979193062478,0,0.5878751583748679,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999
7,233.12174,233.12180912348683,233.12168928984903,1099033,-9999,739367.8,17.94,-1,0.5140389902518167,0.9531859342370896,0,0.5719115605422538,1,2,0.2727272727272727,S1 O3,de-protonated,0,-9999,C11 H22 O3 S1,11,22,3,-9999,-9999,1,-9999,-9999
8,239.09243,239.09250092375257,239.09249716120908,840945.4,-9999,630684.1,13.15,-1,0.01573676925004053,0.9999550659851713,0,0.5999730395911027,5,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H16 O5,12,16,5,-9999,-9999,-9999,-9999,-9999
9,239.128831,239.12890193472805,239.12888267055905,1473783.4,-9999,536736.8,24.55,-1,0.08055977505786593,0.998823113354104,0,0.5992938680124624,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999
10,241.071683,241.07175452053133,241.0717617163191,828790.5,-9999,621602.5,12.88,-1,-0.02984915241917166,0.9998383473863706,0,0.5999030084318223,5,1.2727272727272727,0.5454545454545454,O6,de-protonated,0,-9999,C11 H14 O6,11,14,6,-9999,-9999,-9999,-9999,-9999
12,243.087461,243.08753312832303,243.0874117807791,905023.4,-9999,631679.5,14.19,-1,0.4991930394486584,0.95579113502997,0,0.573474681017982,4,1.4545454545454546,0.5454545454545454,O6,de-protonated,0,-9999,C11 H16 O6,11,16,6,-9999,-9999,-9999,-9999,-9999
13,245.048937,245.04900971974175,245.0489182711491,964668.5,-9999,605229.2,15.25,-1,0.37318504945606296,0.9750467807110498,0,0.5850280684266298,4,1.4,0.5,S1 O5,de-protonated,0,-9999,C10 H14 O5 S1,10,14,5,-9999,-9999,1,-9999,-9999
14,251.095388,251.09546254285073,251.09548834200908,1789555.5,-9999,774601.9,29.75,-1,-0.10274640345529346,0.9980863116991938,0,0.5988517870195162,6,1.4166666666666667,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H17 O2 N2 P1,12,17,2,2,1,-9999,-9999,-9999
15,251.095791,251.0958655429722,251.09586846452908,3842419.5,-9999,444047.4,66.17,-1,-0.01163522477717864,0.9999754360587724,0,0.5999852616352633,1,2,0.5,S1 O5,de-protonated,0,-9999,C10 H20 O5 S1,10,20,5,-9999,-9999,1,-9999,-9999
16,253.071675,253.0717501387352,253.0717617163191,1176862.6,-9999,747632.1,18.87,-1,-0.04574822492232638,0.9996203181266722,0,0.5997721908760033,6,1.1666666666666667,0.5,O6,de-protonated,0,-9999,C12 H14 O6,12,14,6,-9999,-9999,-9999,-9999,-9999
18,253.108156,253.10823114973488,253.1081472256691,987364.1,-9999,555486,15.51,-1,0.3315739406690306,0.9802489583099104,0,0.5881493749859463,5,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,-9999,C13 H18 O5,13,18,5,-9999,-9999,-9999,-9999,-9999
20,253.144485,253.14456016068868,253.14453273501908,5027625.5,-9999,500592.2,87.19,-1,0.10833996414586596,0.9743026106489556,0.9796714833235204,0.9764501597187816,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999
21,254.147678,254.1477534631686,254.14788757008907,900030.7,-9999,726428.7,13.9,-1,-0.5276727724864317,0.9507327175971524,0.9796714833235204,0.9623082238876997,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,20,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,-9999
22,255.087307,255.08738274648292,255.08741178077904,1366088.5,-9999,591790.2,22.13,-1,-0.11382096805587671,0.9976520544086316,0,0.598591232645179,5,1.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,-9999
23,255.123871,255.1239467575076,255.12379729012903,982381.9,-9999,475690.4,15.35,-1,0.5858621583242949,0.9396202793998608,0,0.5637721676399166,4,1.5384615384615383,0.38461538461538464,O5,de-protonated,0,-9999,C13 H20 O5,13,20,5,-9999,-9999,-9999,-9999,-9999
24,255.232939,255.23301479039344,255.2329538181791,6626142,-9999,383189,115.06,-1,0.23888848761879783,0.9629540663007043,0.9992419503008708,0.977469219900771,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,-9999
25,256.236387,256.23646309295026,256.23630865324907,1153582.8,-9999,454393,18.37,-1,0.6027237201587127,0.9362095665204238,0.9992419503008708,0.9614225200326026,1,2.1333333333333333,0.13333333333333333,13C1 O2,de-protonated,1,24,C15 H32 O2 13C1,15,32,2,-9999,-9999,-9999,1,-9999
26,257.066701,257.06677734330424,257.0666763358891,987813,-9999,609069.8,15.44,-1,0.39292302129250545,0.9723751515237904,0,0.5834250909142743,5,1.2727272727272727,0.6363636363636364,O7,de-protonated,0,-9999,C11 H14 O7,11,14,7,-9999,-9999,-9999,-9999,-9999
27,257.102995,257.1030713542475,257.1030618452391,1530602.1,-9999,706571,25.03,-1,0.03698520095055457,0.9997518262187468,0,0.5998510957312482,4,1.5,0.5,O6,de-protonated,0,-9999,C12 H18 O6,12,18,6,-9999,-9999,-9999,-9999,-9999
28,257.139359,257.13943536521185,257.1394473545891,871535.3,-9999,626826.1,13.31,-1,-0.04662597421539682,0.9996056117094404,0,0.5997633670256642,3,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,-9999,C13 H22 O5,13,22,5,-9999,-9999,-9999,-9999,-9999
29,259.082278,259.0823549510353,259.0823264003491,975485.6,-9999,768714.4,15.13,-1,0.11019928157579648,0.9977989345310728,0,0.5986793607186437,4,1.4545454545454546,0.6363636363636364,O7,de-protonated,0,-9999,C11 H16 O7,11,16,7,-9999,-9999,-9999,-9999,-9999
30,259.118535,259.1186119619674,259.1187119096991,832098.6,-9999,939295.7,12.61,-1,-0.3857217833433758,0.9733649691444533,0,0.5840189814866719,3,1.6666666666666667,0.5,O6,de-protonated,0,-9999,C12 H20 O6,12,20,6,-9999,-9999,-9999,-9999,-9999
31,259.118767,259.1188439620374,259.1187119096991,972546.6,-9999,590160.8,15.08,-1,0.5096210047057921,0.9539684438462482,0,0.5723810663077489,3,1.6666666666666667,0.5,O6,de-protonated,0,-9999,C12 H20 O6,12,20,6,-9999,-9999,-9999,-9999,-9999
33,262.975948,262.9760261250438,262.9759678045391,2768641,-9999,565944.3,46.32,-1,0.22177123329304185,0.9911156051896972,0,0.59466936311381835,9,0.75,0.08333333333333333,S2 P1 O1,de-protonated,0,-9999,C12 H9 O1 P1 S2,12,9,1,-9999,1,2,-9999,-9999
35,263.165184,263.1652621821017,263.1652681799091,1293721.1,-9999,488058,20.58,-1,-0.02279102961413146,0.999905754363218,0,0.5999434526179307,5,1.5,0.1875,O3,de-protonated,0,-9999,C16 H24 O3,16,24,3,-9999,-9999,-9999,-9999,-9999
36,265.071707,265.0717857569511,265.0717617163191,1109768.9,-9999,716821.9,17.25,-1,0.09069480603082816,0.9985085983964378,0,0.5991051590378627,7,1.0769230769230769,0.4615384615384616,O6,de-protonated,0,-9999,C13 H14 O6,13,14,6,-9999,-9999,-9999,-9999,-9999
37,265.147345,265.1474237797573,265.1475239158191,874130.3,-9999,555422.9,13.17,-1,-0.3776616893286945,0.9744522828349356,0,0.5846713697009612,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999
